Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Beaudoin, N., Gallois, N., Viennot, P., Le Bas, C., Puech, T., Schott, C., Buis, S., Mary, B.","15071436000;16309725100;16041070900;25653990800;56717763900;7004557922;11839198600;56235628300;","Evaluation of a spatialized agronomic model in predicting yield and N leaching at the scale of the Seine-Normandie Basin",2018,"Environmental Science and Pollution Research","25","24",,"23529","23558",,12,"10.1007/s11356-016-7478-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988699991&doi=10.1007%2fs11356-016-7478-3&partnerID=40&md5=b0f8487b67a89faa5e2cca59eee34eaf",Article,"Final","",Scopus,2-s2.0-84988699991
"Mesbah, M., Pattey, E., Jégo, G.","57197708675;7003533081;23767941600;","A model-based methodology to derive optimum nitrogen rates for rainfed crops – a case study for corn using STICS in Canada",2017,"Computers and Electronics in Agriculture","142",,,"572","584",,12,"10.1016/j.compag.2017.11.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034095205&doi=10.1016%2fj.compag.2017.11.011&partnerID=40&md5=ecd61c8da5a55806d1b597f7bad8b44c",Article,"Final","",Scopus,2-s2.0-85034095205
"Dumont, B., Basso, B., Bodson, B., Destain, J.-P., Destain, M.-F.","15076747400;15764844100;14067188700;8301431100;6602395320;","Climatic risk assessment to improve nitrogen fertilisation recommendations: A strategic crop model-based approach",2015,"European Journal of Agronomy","65",,,"10","17",,12,"10.1016/j.eja.2015.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921902099&doi=10.1016%2fj.eja.2015.01.003&partnerID=40&md5=834ad72f57cc992fe705f060878aa30c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84921902099
"Di Bella, C., Faivre, R., Ruget, F., Seguin, B.","56213319100;7003562775;6602167020;7006652595;","Using VEGETATION satellite data and the crop model STICS-Prairie to estimate pasture production at the national level in France",2005,"Physics and Chemistry of the Earth","30","1-3 SPEC. ISS.",,"3","9",,12,"10.1016/j.pce.2004.08.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-13144307174&doi=10.1016%2fj.pce.2004.08.018&partnerID=40&md5=4e068c0d6367b402991fbf1f18c9aa06",Article,"Final","",Scopus,2-s2.0-13144307174
"Saddique, Q., Cai, H., Xu, J., Ajaz, A., He, J., Yu, Q., Wang, Y., Chen, H., Khan, M.I., Liu, D.L., He, L.","57190434952;16300650200;57111023600;57209740733;55649122800;57199725155;57221921177;57142927700;8524075800;57219091279;56225631700;","Analyzing adaptation strategies for maize production under future climate change in Guanzhong Plain, China",2020,"Mitigation and Adaptation Strategies for Global Change","25","8",,"1523","1543",,13,"10.1007/s11027-020-09935-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094214886&doi=10.1007%2fs11027-020-09935-0&partnerID=40&md5=f91e92029b72dcd732eb34e2e197a54c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85094214886
"Meyer, N., Bergez, J.-E., Constantin, J., Belleville, P., Justes, E.","57212827472;6603865785;26321290000;57213170683;6603057433;","Cover crops reduce drainage but not always soil water content due to interactions between rainfall distribution and management",2020,"Agricultural Water Management","231",,"105998","","",,13,"10.1016/j.agwat.2019.105998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077653073&doi=10.1016%2fj.agwat.2019.105998&partnerID=40&md5=ea5fa28abcecb9e25f92052a5b4fd96f",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85077653073
"Yin, X., Beaudoin, N., Ferchaud, F., Mary, B., Strullu, L., Chlébowski, F., Clivot, H., Herre, C., Duval, J., Louarn, G.","54407521400;15071436000;16554673200;56235628300;37073618900;57205513098;53863091600;12545315700;54796585500;24605164500;","Long-term modelling of soil N mineralization and N fate using STICS in a 34-year crop rotation experiment",2020,"Geoderma","357",,"113956","","",,13,"10.1016/j.geoderma.2019.113956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071878441&doi=10.1016%2fj.geoderma.2019.113956&partnerID=40&md5=528442f0553a022caa0a92a025fd4868",Article,"Final","",Scopus,2-s2.0-85071878441
"Strullu, L., Ferchaud, F., Yates, N., Shield, I., Beaudoin, N., Garcia de Cortazar-Atauri, I., Besnard, A., Mary, B.","37073618900;16554673200;8682203200;6603041908;15071436000;26321066600;56656254600;56235628300;","Multisite Yield Gap Analysis of Miscanthus × giganteus Using the STICS Model",2015,"Bioenergy Research","8","4",,"1735","1749",,13,"10.1007/s12155-015-9625-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947029789&doi=10.1007%2fs12155-015-9625-y&partnerID=40&md5=4b05ecf3afdd34f2a41efa301adc2946",Article,"Final","",Scopus,2-s2.0-84947029789
"Dumont, B., Basso, B., Leemans, V., Bodson, B., Destain, J.-P., Destain, M.-F.","15076747400;15764844100;6602403778;14067188700;8301431100;6602395320;","Systematic analysis of site-specific yield distributions resulting from nitrogen management and climatic variability interactions",2015,"Precision Agriculture","16","4",,"361","384",,13,"10.1007/s11119-014-9380-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933522941&doi=10.1007%2fs11119-014-9380-7&partnerID=40&md5=29df232d087df97a4d8af079b830ae1c",Article,"Final","",Scopus,2-s2.0-84933522941
"Duxbury, J., Bierman, P.R., Portenga, E.W., Pavich, M.J., Southworth, S., Freeman, S.P.H.T.","16480165200;7006832233;45561601300;6603858917;7003560836;7202138506;","Erosion rates in and around shenandoah national park, Virginia, determined using analysis of cosmogenic 10Be",2015,"American Journal of Science","315","1",,"46","76",,13,"10.2475/01.2015.02","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928473473&doi=10.2475%2f01.2015.02&partnerID=40&md5=89474c3b17334ffd310f4f74789849a8",Article,"Final","",Scopus,2-s2.0-84928473473
"Sreelash, K., Sekhar, M., Ruiz, L., Buis, S., Bandyopadhyay, S.","55279824200;7003745084;14008374600;11839198600;7402059406;","Improved modeling of groundwater recharge in agricultural watersheds using a combination of crop model and remote sensing",2013,"Journal of the Indian Institute of Science","93","2",,"189","208",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880276560&partnerID=40&md5=7310dfe17546ceaa3c6c72477fa46ae0",Review,"Final","",Scopus,2-s2.0-84880276560
"Sreelash, K., Sekhar, M., Ruiz, L., Tomer, S.K., Guérif, M., Buis, S., Durand, P., Gascuel-Odoux, C.","55279824200;7003745084;14008374600;55279353500;6701782386;11839198600;55724346800;55957507100;","Parameter estimation of a two-horizon soil profile by combining crop canopy and surface soil moisture observations using GLUE",2012,"Journal of Hydrology","456-457",,,"57","67",,13,"10.1016/j.jhydrol.2012.06.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864351483&doi=10.1016%2fj.jhydrol.2012.06.012&partnerID=40&md5=d4203fb0f55b9fc7b0cf83649b4d4717",Article,"Final","",Scopus,2-s2.0-84864351483
"Varella, H., Guérif, M., Buis, S., Beaudoin, N.","34968726300;6701782386;11839198600;15071436000;","Soil properties estimation by inversion of a crop model and observations on crops improves the prediction of agro-environmental variables",2010,"European Journal of Agronomy","33","2",,"139","147",,13,"10.1016/j.eja.2010.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955587893&doi=10.1016%2fj.eja.2010.04.005&partnerID=40&md5=0ac7624b37a91bf41962871ed5aa3bcd",Article,"Final","",Scopus,2-s2.0-77955587893
"Plaza-Bonilla, D., Léonard, J., Peyrard, C., Mary, B., Justes, É.","36646663200;7402282845;55758813000;56235628300;6603057433;","Precipitation gradient and crop management affect N2O emissions: Simulation of mitigation strategies in rainfed Mediterranean conditions",2017,"Agriculture, Ecosystems and Environment","238",,,"89","103",,14,"10.1016/j.agee.2016.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006511725&doi=10.1016%2fj.agee.2016.06.003&partnerID=40&md5=873a602c02140027d7b394921f74f368",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85006511725
"Dumont, B., Basso, B., Bodson, B., Destain, J.-P., Destain, M.-F.","15076747400;15764844100;14067188700;8301431100;6602395320;","Assessing and modeling economic and environmental impact of wheat nitrogen management in Belgium",2016,"Environmental Modelling and Software","79",,,"184","196",,14,"10.1016/j.envsoft.2016.02.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958537043&doi=10.1016%2fj.envsoft.2016.02.015&partnerID=40&md5=dec69c66f120a04d2d1e9767bc21f638",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84958537043
"Strullu, L., Beaudoin, N., de Cortàzar Atauri, I.G., Mary, B.","37073618900;15071436000;57191626975;56235628300;","Simulation of Biomass and Nitrogen Dynamics in Perennial Organs and Shoots of Miscanthus × Giganteus Using the STICS Model",2014,"Bioenergy Research","7","4",,"1253","1269",,14,"10.1007/s12155-014-9462-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912143548&doi=10.1007%2fs12155-014-9462-4&partnerID=40&md5=fe27167a17598b7f5fb05cfc80ed0db1",Article,"Final","",Scopus,2-s2.0-84912143548
"Smith, P.C., Ciais, P., Peylin, P., De Noblet-Ducoudr, N., Viovy, N., Meurdesoif, Y., Bondeau, A.","55492312600;55399842300;55907220900;37090472200;57192414605;57193170776;6602822939;","European-wide simulations of croplands using an improved terrestrial biosphere model: 2. Interannual yields and anomalous CO2 fluxes in 2003",2010,"Journal of Geophysical Research: Biogeosciences","115","4","G04028","","",,14,"10.1029/2009JG001041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649756073&doi=10.1029%2f2009JG001041&partnerID=40&md5=ef33772ff7f54e08386ef5e9dab3df54",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-78649756073
"González-Camacho, J.M., Mailhol, J.C., Ruget, F.","14025560300;6602092499;6602167020;","Local impact to be expected from increasing atmospheric CO2 on maize crop water in the Drome valley (France) [Impacts locaux attendus de l'augmentation du CO2 dans l'atmosphère sur la productivité de l'eau du maïs dans la drôme, France]",2008,"Irrigation and Drainage","57","2",,"229","243",,14,"10.1002/ird.332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44049090581&doi=10.1002%2fird.332&partnerID=40&md5=b84186dd9f76bf7ab9dd2e835b96062f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-44049090581
"Juin, S., Brisson, N., Clastre, P., Grand, P.","6507840098;7005033261;6506026321;6701880135;","Impact of global warming on the growing cycles of three forage systems in upland areas of southeastern France",2004,"Agronomie","24","6-7",,"327","337",,14,"10.1051/agro:2004028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9244224174&doi=10.1051%2fagro%3a2004028&partnerID=40&md5=dfb22f5f4abf71c09a9ee27fec892cf7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-9244224174
"Sreelash, K., Buis, S., Sekhar, M., Ruiz, L., Kumar Tomer, S., Guérif, M.","55279824200;11839198600;7003745084;14008374600;55279353500;6701782386;","Estimation of available water capacity components of two-layered soils using crop model inversion: Effect of crop type and water regime",2017,"Journal of Hydrology","546",,,"166","178",,15,"10.1016/j.jhydrol.2016.12.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009385384&doi=10.1016%2fj.jhydrol.2016.12.049&partnerID=40&md5=6a4e76d5d749c132ba408682c5fa267d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85009385384
"Lammoglia, S.-K., Moeys, J., Barriuso, E., Larsbo, M., Marín-Benito, J.-M., Justes, E., Alletto, L., Ubertosi, M., Nicolardot, B., Munier-Jolain, N., Mamy, L.","57189364250;11238835800;7004023960;8610169300;36559815100;6603057433;14040301100;56520214000;55921632000;6701507655;23667821000;","Sequential use of the STICS crop model and of the MACRO pesticide fate model to simulate pesticides leaching in cropping systems",2017,"Environmental Science and Pollution Research","24","8",,"6895","6909",,15,"10.1007/s11356-016-6842-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969821631&doi=10.1007%2fs11356-016-6842-7&partnerID=40&md5=fdb1bc590ca1b1c7915d0af8ed944577",Article,"Final","",Scopus,2-s2.0-84969821631
"Défossez, P., Richard, G., Keller, T., Adamiade, V., Govind, A., Mary, B.","57203555971;24171537900;13610309200;56151921300;16506686000;56235628300;","Modelling the impact of declining soil organic carbon on soil compaction: Application to a cultivated Eutric Cambisol with massive straw exportation for energy production in Northern France",2014,"Soil and Tillage Research","141",,,"44","54",,15,"10.1016/j.still.2014.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899979075&doi=10.1016%2fj.still.2014.03.003&partnerID=40&md5=a55c205875a15971acd260dd7f913a7d",Article,"Final","",Scopus,2-s2.0-84899979075
"Dumont, B., Leemans, V., Ferrandis, S., Bodson, B., Destain, J.-P., Destain, M.-F.","15076747400;6602403778;56019103000;14067188700;8301431100;6602395320;","Assessing the potential of an algorithm based on mean climatic data to predict wheat yield",2014,"Precision Agriculture","15","3",,"255","272",,15,"10.1007/s11119-014-9346-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899618672&doi=10.1007%2fs11119-014-9346-9&partnerID=40&md5=17fc7616fddc6648e1955d78438c32d8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84899618672
"Ahmed, M., Stöckle, C.O., Nelson, R., Higgins, S., Ahmad, S., Raza, M.A.","36631583300;57204340016;55451979000;7203087474;57223117614;57192415142;","Novel multimodel ensemble approach to evaluate the sole effect of elevated CO2 on winter wheat productivity",2019,"Scientific Reports","9","1","7813","","",,16,"10.1038/s41598-019-44251-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066961891&doi=10.1038%2fs41598-019-44251-x&partnerID=40&md5=695b05a40aefe2c84708f10b8134b253",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85066961891
"Nesme, T., Brisson, N., Lescourret, F., Bellon, S., Crété, X., Plénet, D., Habib, R.","7801655142;7005033261;7003943634;7003593928;14029745300;56052869200;23034255800;","Epistics: A dynamic model to generate nitrogen fertilisation and irrigation schedules in apple orchards, with special attention to qualitative evaluation of the model",2006,"Agricultural Systems","90","1-3",,"202","225",,16,"10.1016/j.agsy.2005.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745653146&doi=10.1016%2fj.agsy.2005.12.006&partnerID=40&md5=859e4487ed08eb0a8244fa3771cdd677",Article,"Final","",Scopus,2-s2.0-33745653146
"Delphin, J.E., Chapot, J.Y.","24358606200;6507120005;","Leaching of atrazine, metolachlor and diuron in the field in relation to their injection depth into a silt loam soil",2006,"Chemosphere","64","11",,"1862","1869",,16,"10.1016/j.chemosphere.2006.01.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746253729&doi=10.1016%2fj.chemosphere.2006.01.049&partnerID=40&md5=0a05c2d4083eff4c505b6274d42e364d",Article,"Final","",Scopus,2-s2.0-33746253729
"Flénet, F., Villon, P., Ruget, F.","55899108800;6603744022;6602167020;","Methodology of adaptation of the STICS model to a new crop: Spring linseed (Linum usitatissimum, L.)",2004,"Agronomie","24","6-7",,"367","381",,16,"10.1051/agro:2004032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9244252056&doi=10.1051%2fagro%3a2004032&partnerID=40&md5=e955b308435a979da244dc4213403245",Article,"Final","All Open Access, Green",Scopus,2-s2.0-9244252056
"Jégo, G., Chantigny, M., Pattey, E., Bélanger, G., Rochette, P., Vanasse, A., Goyer, C.","23767941600;6603601520;7003533081;55584175400;7006811223;24832260300;57205609619;","Improved snow-cover model for multi-annual simulations with the STICS crop model under cold, humid continental climates",2014,"Agricultural and Forest Meteorology","195-196",,,"38","51",,17,"10.1016/j.agrformet.2014.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901373178&doi=10.1016%2fj.agrformet.2014.05.002&partnerID=40&md5=500c753ac4a695d916409ae291e80e85",Article,"Final","",Scopus,2-s2.0-84901373178
"Dumont, B., Basso, B., Leemans, V., Bodson, B., Destain, J.-P., Destain, M.-F.","15076747400;15764844100;6602403778;14067188700;8301431100;6602395320;","A comparison of within-season yield prediction algorithms based on crop model behaviour analysis",2015,"Agricultural and Forest Meteorology","204",,,"10","",,18,"10.1016/j.agrformet.2015.01.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921941086&doi=10.1016%2fj.agrformet.2015.01.014&partnerID=40&md5=d598eaf08b7aef8234d254e851e8f835",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84921941086
"Jayet, P.-A., Petsakos, A.","6603173511;55199840300;","Evaluating the Efficiency of a Uniform N-Input Tax under Different Policy Scenarios at Different Scales",2013,"Environmental Modeling and Assessment","18","1",,"57","72",,18,"10.1007/s10666-012-9331-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871934666&doi=10.1007%2fs10666-012-9331-5&partnerID=40&md5=4cef8da31e3b0ba1361f55625d2ac707",Article,"Final","",Scopus,2-s2.0-84871934666
"Jégo, G., Pattey, E., Bourgeois, G., Drury, C.F., Tremblay, N.","23767941600;7003533081;7006040890;7102825449;35549292300;","Evaluation of the STICS crop growth model with maize cultivar parameters calibrated for Eastern Canada",2011,"Agronomy for Sustainable Development","31","3",,"557","570",,18,"10.1007/s13593-011-0014-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054804883&doi=10.1007%2fs13593-011-0014-4&partnerID=40&md5=f260a6e92ead11cadb15b483f3a45d6c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-80054804883
"Dupraz, C., Wolz, K.J., Lecomte, I., Talbot, G., Vincent, G., Mulia, R., Bussière, F., Ozier-Lafontaine, H., Andrianarisoa, S., Jackson, N., Lawson, G., Dones, N., Sinoquet, H., Lusiana, B., Harja, D., Domenicano, S., Reyes, F., Gosme, M., Van Noordwijk, M.","7003728446;57193689156;57225372453;38362212100;7103097586;8920391900;7003640902;57204221039;26423510500;7202097498;7102968838;6505809676;7004925245;6506015904;24481406300;22233885200;56767659100;15769055000;7003897764;","Hi-sAFe: A 3D agroforestry model for integrating dynamic tree-crop interactions",2019,"Sustainability (Switzerland)","11","8","2293","","",,19,"10.3390/su11082293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066847730&doi=10.3390%2fsu11082293&partnerID=40&md5=f5c715192792a070ccab34d5979908da",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85066847730
"Tribouillois, H., Constantin, J., Justes, E.","56545818900;26321290000;6603057433;","Analysis and modeling of cover crop emergence: Accuracy of a static model and the dynamic STICS soil-crop model",2018,"European Journal of Agronomy","93",,,"73","81",,19,"10.1016/j.eja.2017.12.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038819437&doi=10.1016%2fj.eja.2017.12.004&partnerID=40&md5=18126abbc0f4d3d5220d4f0e6f5e09fb",Article,"Final","",Scopus,2-s2.0-85038819437
"Li, L., Vuichard, N., Viovy, N., Ciais, P., Wang, T., Ceschia, E., Jans, W., Wattenbach, M., Béziat, P., Gruenwald, T., Lehuger, S., Bernhofer, C.","12039396200;16403683500;57192414605;55399842300;57221368218;15062214600;14063186600;12244125000;15062339100;16238569100;16444866700;6603757959;","Importance of crop varieties and management practices: Evaluation of a process-based model for simulating CO 2 and H 2O fluxes at five European maize (Zea mays L.) sites",2011,"Biogeosciences","8","6",,"1721","1736",,19,"10.5194/bg-8-1721-2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960262608&doi=10.5194%2fbg-8-1721-2011&partnerID=40&md5=ef9e4da939c54cd1486c8f99d9a926d8",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-79960262608
"Ruget, F., Satger, S., Volaire, F., Lelièvre, F.","6602167020;26634138100;55910750900;6701777498;","Modeling tiller density, growth, and yield of mediterranean perennial grasslands with STICS",2009,"Crop Science","49","6",,"2379","2385",,19,"10.2135/cropsci2009.06.0323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70749131060&doi=10.2135%2fcropsci2009.06.0323&partnerID=40&md5=0fa020db8cb4969f8f1290c8f238e6c6",Article,"Final","",Scopus,2-s2.0-70749131060
"Fraga, H., Molitor, D., Leolini, L., Santos, J.A.","57188959456;37047538200;57189710485;56157920300;","What is the impact of heatwaves on European viticulture? A modelling assessment",2020,"Applied Sciences (Switzerland)","10","9","3030","","",,20,"10.3390/app10093030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085113508&doi=10.3390%2fapp10093030&partnerID=40&md5=7b05d11452b0935a2d7a861d193c08ab",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85085113508
"Helder, F., João A., S.","57188959456;56157920300;","Vineyard mulching as a climate change adaptation measure: Future simulations for Alentejo, Portugal",2018,"Agricultural Systems","164",,,"107","115",,20,"10.1016/j.agsy.2018.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045722274&doi=10.1016%2fj.agsy.2018.04.006&partnerID=40&md5=7f315a8b9dc3c6a3ea0b61149dd5443b",Article,"Final","",Scopus,2-s2.0-85045722274
"Debaeke, P.","6603962943;","Scenario analysis for cereal management in water-limited conditions by the means of a crop simulation model (STICS)",2004,"Agronomie","24","6-7",,"315","326",,20,"10.1051/agro:2004035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9244226013&doi=10.1051%2fagro%3a2004035&partnerID=40&md5=4a105f3fa8779149fcb5d112e9f55e72",Article,"Final","All Open Access, Green",Scopus,2-s2.0-9244226013
"Lammoglia, S.-K., Brun, F., Quemar, T., Moeys, J., Barriuso, E., Gabrielle, B., Mamy, L.","57189364250;55224648200;57203959929;11238835800;7004023960;6603049348;23667821000;","Modelling pesticides leaching in cropping systems: Effect of uncertainties in climate, agricultural practices, soil and pesticide properties",2018,"Environmental Modelling and Software","109",,,"342","352",,21,"10.1016/j.envsoft.2018.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053754502&doi=10.1016%2fj.envsoft.2018.08.007&partnerID=40&md5=6aebe964230f69a2c6c855029be1f2a7",Article,"Final","",Scopus,2-s2.0-85053754502
"Tribouillois, H., Constantin, J., Justes, E.","56545818900;26321290000;6603057433;","Cover crops mitigate direct greenhouse gases balance but reduce drainage under climate change scenarios in temperate climate with dry summers",2018,"Global Change Biology","24","6",,"2513","2529",,21,"10.1111/gcb.14091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043469725&doi=10.1111%2fgcb.14091&partnerID=40&md5=a5a3d7642d613f682aa1e51e7086989a",Article,"Final","",Scopus,2-s2.0-85043469725
"Ferchaud, F., Mary, B.","16554673200;56235628300;","Drainage and Nitrate Leaching Assessed During 7 Years Under Perennial and Annual Bioenergy Crops",2016,"Bioenergy Research","9","2",,"656","670",,21,"10.1007/s12155-015-9710-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953438718&doi=10.1007%2fs12155-015-9710-2&partnerID=40&md5=e29e548d5e218601038491a76e76a339",Article,"Final","",Scopus,2-s2.0-84953438718
"Sierra, J., Brisson, N., Ripoche, D., Déqué, M.","56211646600;7005033261;6507647940;7003332823;","Modelling the impact of thermal adaptation of soil microorganisms and crop system on the dynamics of organic matter in a tropical soil under a climate change scenario",2010,"Ecological Modelling","221","23",,"2850","2858",,21,"10.1016/j.ecolmodel.2010.08.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957311769&doi=10.1016%2fj.ecolmodel.2010.08.031&partnerID=40&md5=e10b0a004fa2e6aa7a62a305b8566cc8",Article,"Final","",Scopus,2-s2.0-77957311769
"Plaza-Bonilla, D., Álvaro-Fuentes, J., Bareche, J., Pareja-Sánchez, E., Justes, É., Cantero-Martínez, C.","36646663200;22133391700;56272511900;57195410231;6603057433;6602587832;","No-tillage reduces long-term yield-scaled soil nitrous oxide emissions in rainfed Mediterranean agroecosystems: A field and modelling approach",2018,"Agriculture, Ecosystems and Environment","262",,,"36","47",,22,"10.1016/j.agee.2018.04.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046347094&doi=10.1016%2fj.agee.2018.04.007&partnerID=40&md5=ac2706b3627ddc902f81149cd61d2825",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85046347094
"Queyrel, W., Habets, F., Blanchoud, H., Ripoche, D., Launay, M.","56951315000;26643531800;6602448079;6507647940;7004401754;","Pesticide fate modeling in soils with the crop model STICS: Feasibility for assessment of agricultural practices",2016,"Science of the Total Environment","542",,,"787","802",,22,"10.1016/j.scitotenv.2015.10.066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946605615&doi=10.1016%2fj.scitotenv.2015.10.066&partnerID=40&md5=6556a866ee05acf3a0f5a67661dc4759",Article,"Final","",Scopus,2-s2.0-84946605615
"Constantin, J., Le Bas, C., Justes, E.","26321290000;25653990800;6603057433;","Large-scale assessment of optimal emergence and destruction dates for cover crops to reduce nitrate leaching in temperate conditions using the STICS soil-crop model",2015,"European Journal of Agronomy","69",,,"75","87",,22,"10.1016/j.eja.2015.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932603846&doi=10.1016%2fj.eja.2015.06.002&partnerID=40&md5=0a9079a9dd97a19b0c027b67612f89b1",Article,"Final","",Scopus,2-s2.0-84932603846
"Gomez, E., Ledoux, E., Viennot, P., Mignolet, C., Benoit, M., Bornerand, C., Schott, C., Mary, B., Billen, G., Ducharne, A., Brunstein, D.","7201729757;7006253902;16041070900;55898425600;7103191558;57216193915;7004557922;56235628300;7003799164;6603433697;6506198569;","An integrated modelling tool for nitrate transport in a hydrological system: Application to the River Seine basin [Un outil de modélisation intégrée du transfert des nitrates sur un système hydrologique: Application au bassin de la Seine]",2003,"Houille Blanche",,"3",,"38","45",,22,"10.1051/lhb/2003045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042812126&doi=10.1051%2flhb%2f2003045&partnerID=40&md5=07dddc23bdeb06d785f66db6da39faef",Article,"Final","",Scopus,2-s2.0-0042812126
"Plaza-Bonilla, D., Nogué-Serra, I., Raffaillac, D., Cantero-Martínez, C., Justes, É.","36646663200;57203966978;6505694831;6602587832;6603057433;","Carbon footprint of cropping systems with grain legumes and cover crops: A case-study in SW France",2018,"Agricultural Systems","167",,,"92","102",,23,"10.1016/j.agsy.2018.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053835200&doi=10.1016%2fj.agsy.2018.09.004&partnerID=40&md5=d7c4bbfc5a995c5d3415adf9aabe0134",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85053835200
"Baey, C., Didier, A., Lemaire, S., Maupas, F., Cournède, P.-H.","57164709500;57198121668;57198174595;35105397500;15047661000;","Parametrization of five classical plant growth models applied to sugar beet and comparison of their predictive capacity on root yield and total biomass",2014,"Ecological Modelling","290","C",,"11","20",,23,"10.1016/j.ecolmodel.2013.11.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027923137&doi=10.1016%2fj.ecolmodel.2013.11.003&partnerID=40&md5=db1d95d42dc01cad87d2d973f4622277",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85027923137
"Maharjan, G.R., Prescher, A.-K., Nendel, C., Ewert, F., Mboh, C.M., Gaiser, T., Seidel, S.J.","55227336600;36244301700;55894060300;6604055290;36118155700;6602107359;56883905000;","Approaches to model the impact of tillage implements on soil physical and nutrient properties in different agro-ecosystem models",2018,"Soil and Tillage Research","180",,,"210","221",,24,"10.1016/j.still.2018.03.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044103165&doi=10.1016%2fj.still.2018.03.009&partnerID=40&md5=d432b135bebcd19ea2bd40ee76e287f5",Review,"Final","",Scopus,2-s2.0-85044103165
